source;relationship;target
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: statement before witnesses'
'Cuneiform tablet: legal decision by appointed';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: legal decision by appointed'
'Cuneiform tablet: loan of silver | Old Assyrian Trading Colony';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: loan of silver | Old Assyrian Trading Colony'
'Cuneiform tablet: quittance for a loan in silver';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: quittance for a loan in silver'
'Cuneiform tablet: commercial note | Old Assyrian Trading Colony';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: commercial note | Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: caravan account'
'Cuneiform tablet: caravan account';'comes_from';'Old Assyrian Trading Colony'
'Albert Gallatin';'has_possession_of';'Figure of a Walking Lion'
'Metropolitan Museum of Art';'purchases';'Figure of a Walking Lion'
'Metropolitan Museum of Art';'buys_from';'Albert Gallatin'
'Cylinder seal';'comes_from';'Old Syrian'
'Metropolitan Museum of Art';'has_possession_of';'Cylinder seal'
'Cylinder seal';'comes_from';'Syrian'
'Albert Gallatin';'has_possession_of';'Storage Jar'
'Albert Gallatin';'sells';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Storage Jar'
'Metropolitan Museum of Art';'obtains_from';'Albert Gallatin'
'John J. and Halina Klejman';'has_possession_of';'Belt Buckle'
'John J. and Halina Klejman';'donates_to';'Metropolitan Museum of Art'
'Belt Buckle';'comes_from';'East Mediterranean'
'John J. and Halina Klejman';'has_possession_of';'Belt Buckle with Struggling Animals'
'Belt Buckle with Struggling Animals';'comes_from';'Visigothic'
'John J. Klejman';'has_possession_of';'Stylized Figure Pendant'
'Alice K. Bache';'has_possession_of';'Stylized Figure Pendant'
'John J. Klejman';'has_possession_of';'Vessel in the Shape of a Bear'
'John J. Klejman';'sells';'Vessel in the Shape of a Bear'
'Metropolitan Museum of Art';'has_possession_of';'Vessel in the Shape of a Bear'
'Vessel in the Shape of a Bear';'comes_from';'Roman or Byzantine'
'John J. Klejman (American), New York';'donates_to';'Metropolitan Museum of Art'
'Openwork and Pelta-Shaped Ornament';'comes_from';'Roman'
'Metropolitan Museum of Art';'has_possession_of';'Openwork and Pelta-Shaped Ornament'
'Fritz Goldschmidt';'has_possession_of';'Venus and Cupid'
'John J. Klejman';'obtains_from';'Fritz Goldschmidt'
'John J. Klejman';'has_possession_of';'Venus and Cupid'
'Metropolitan Museum of Art';'has_possession_of';'Venus and Cupid'
'John J. Klejman';'sells';'Writing Tablet'
'Metropolitan Museum of Art';'has_possession_of';'Writing Tablet'
'Writing Tablet';'comes_from';'British'
'John J. Klejman';'has_possession_of';'Miniature jaguar pendant'
'Alice K. Bache';'has_possession_of';'Miniature jaguar pendant'
'Miniature jaguar pendant';'comes_from';'Costa Rica or Panama'
'John J. Klejman';'has_possession_of';'Cast Gold Animal Pendant'
'Alice K. Bache';'has_possession_of';'Cast Gold Animal Pendant'
'Cast Gold Animal Pendant';'comes_from';'Chiriqui'
'John J. Klejman';'has_possession_of';'Cast Gold Pendant of Man with Flute'
'Alice K. Bache';'has_possession_of';'Cast Gold Pendant of Man with Flute'
'Cast Gold Pendant of Man with Flute';'comes_from';'Chiriqui'
'John J. Klejman';'sells';'Padlock with key'
'Padlock with key';'comes_from';'John J. Klejman'
'Metropolitan Museum of Art';'has_possession_of';'Padlock with key'
'Suspension Strap for Polycandelon';'comes_from';'Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Suspension Strap for Polycandelon'
'John J. and Halina Klejman';'has_possession_of';'Suspension Strap for Polycandelon'
'C. T. Loo && Co., Paris';'has_possession_of';'Stele commissioned by Li Zhewang (李真王), Yao La...'
'Frank Caro Co.';'has_possession_of';'Stele commissioned by Li Zhewang (李真王), Yao La...'
'The Sackler Collections';'purchases';'Stele commissioned by Li Zhewang (李真王), Yao La...'
'Stele commissioned by Li Zhewang (李真王), Yao La...';'comes_from';'China'
"Mace head in the form of triple bulls' heads";'comes_from';'Iran'
'Metropolitan Museum of Art';'has_possession_of';"Mace head in the form of triple bulls' heads"
'Bowl with a handle in the form of a winged bull';'comes_from';'ca. 8th century B.C.'
'Metropolitan Museum of Art';'has_possession_of';'Bowl with a handle in the form of a winged bull'
'John J. Klejman';'has_possession_of';'Railing Fragment'
'John J. Klejman';'donates_to';'Metropolitan Museum of Art'
'Railing Fragment';'comes_from';'Byzantine'
'Mr. and Mrs. J.J. Klejman';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Railing Fragment'
'Seated Jain Tirthankara';'comes_from';'India'
'Metropolitan Museum of Art';'has_possession_of';'Seated Jain Tirthankara'
'Cross-Shaped Hanging Lamp';'comes_from';'Constantinople'
'Metropolitan Museum of Art';'has_possession_of';'Cross-Shaped Hanging Lamp'
'Fragments of an Icon of the Hypapante';'comes_from';'John J. and Halina Klejman'
"Mace heads in the form of triple bulls' heads";'comes_from';'Iran'
'Metropolitan Museum of Art';'has_possession_of';"Mace heads in the form of triple bulls' heads"
'John J. Klejman';'sells';'Cameo with Head of Female Saint Wearing Wimple'
'John J. Klejman';'donates_to';'Metropolitan Museum of Art'
'Cameo with Head of Female Saint Wearing Wimple';'comes_from';'late 13th century'
'Metropolitan Museum of Art';'has_possession_of';'Cameo with Head of Female Saint Wearing Wimple'
'Conoid stamp seal: king mastering two rearing animals';'comes_from';'Achaemenid'
'Metropolitan Museum of Art';'has_possession_of';'Conoid stamp seal: king mastering two rearing animals'
'Metropolitan Museum of Art';'has_possession_of';'Vessel | Proto-Elamite | Proto-Elamite  Museum of Art'
'Harris Brisbane Dick Fund';'purchases';'Vessel | Proto-Elamite | Proto-Elamite  Museum of Art'
'Maurice Nahman';'has_possession_of';'Vessel | Proto-Elamite | Proto-Elamite  Museum of Art'
'Vessel | Proto-Elamite | Proto-Elamite  Museum of Art';'comes_from';'Proto-Elamite'
'False door from the tomb of Metjetji';'comes_from';'Old Kingdom, ca. 2353–2323 B.C.'
'Metropolitan Museum of Art';'has_possession_of';'False door from the tomb of Metjetji'
'Cameo with head of female saint';'comes_from';'French'
'Metropolitan Museum of Art';'has_possession_of';'Cameo with head of female saint'
'Bowl';'comes_from';'Thailand'
'Seated Ganesha';'comes_from';'India (Orissa)'
'Metropolitan Museum of Art';'has_possession_of';'Seated Ganesha'
'John J. Klejman';'sells';'Rearing Lion (Vyala)'
'John J. Klejman';'has_possession_of';'Rearing Lion (Vyala)'
'Metropolitan Museum of Art';'purchases';'Rearing Lion (Vyala)'
'Rearing Lion (Vyala)';'comes_from';'India'
'Metropolitan Museum of Art';'has_possession_of';'Rearing Lion (Vyala)'
'Corbel with Crouching Woman Clutching her Long Hair';'comes_from';'12th century'
'Metropolitan Museum of Art';'has_possession_of';'Corbel with Crouching Woman Clutching her Long Hair'
'Metropolitan Museum of Art';'obtains_from';'Joseph Brummer'
'Joseph Brummer';'has_possession_of';'Corbel with Crouching Woman Clutching her Long Hair'
'C.J. Wawra';'sells';'Putto on a Dolphin'
'C.J. Wawra';'sells';'Vienna'
'Metropolitan Museum of Art';'has_possession_of';'Putto on a Dolphin'
'Metropolitan Museum of Art';'obtains_from';'C.J. Wawra'
'John J. Klejman';'sells';'Standing Lamp with Running Dogs'
'Metropolitan Museum of Art';'has_possession_of';'Standing Lamp with Running Dogs'
'Standing Lamp with Running Dogs';'comes_from';'Byzantine'
'John J. Klejman (American), New York';'sells';'Patera | Byzantine (?)  Museum of Art'
'Patera | Byzantine (?)  Museum of Art';'comes_from';'John J. Klejman (American), New York'
'Metropolitan Museum of Art';'has_possession_of';'Patera | Byzantine (?)  Museum of Art'
'John J. Klejman (American), New York';'sells';'Hanging Lamp with a Griffin’s Head'
'Hanging Lamp with a Griffin’s Head';'comes_from';'Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Hanging Lamp with a Griffin’s Head'
'Warrior | Byzantine  Museum of Art';'comes_from';'John J. Klejman (American), New York'
'Metropolitan Museum of Art';'has_possession_of';'Warrior | Byzantine  Museum of Art'
'Robert E. Hecht, Jr.';'has_possession_of';'Gold phiale (libation bowl)'
'Metropolitan Museum of Art';'purchases';'Gold phiale (libation bowl)'
'Gold phiale (libation bowl)';'comes_from';'Greek'
'Metropolitan Museum of Art';'obtains_from';'Robert E. Hecht, Jr.'
'John J. Klejman (American), New York';'sells';'Steelyard Weight with the Bust of a Woman'
'John J. Klejman (American), New York';'makes_sale_to';'Metropolitan Museum of Art'
'Steelyard Weight with the Bust of a Woman';'comes_from';'Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Steelyard Weight with the Bust of a Woman'
'Vishnu Standing between His Consorts, Lakshmi and Sarasvati';'comes_from';'India (Tamil Nadu)'
'Metropolitan Museum of Art';'has_possession_of';'Vishnu Standing between His Consorts, Lakshmi and Sarasvati'
'The Elisha Whittelsey Collection';'has_possession_of';"Copy of Design for a Vase with Britannia, from'Nouveaux Livre de Vases';"
'The Elisha Whittelsey Collection';'donates_to';'Metropolitan Museum of Art'
"Copy of Design for a Vase with Britannia, from'Nouveaux Livre de Vases';";'comes_from';'Octave de Rochebrune (French)'
'The Elisha Whittelsey Collection';'has_possession_of';'Copy of Design for a Vase with the Crowned Escutcheon of the Prince of Wales'
'Octave de Rochebrune';'comes_from';'Copy of Design for a Vase with the Crowned Escutcheon of the Prince of Wales'
'Metropolitan Museum of Art';'has_possession_of';'Copy of Design for a Vase with the Triumph of Bacchus'
'Copy of Design for a Vase with the Triumph of Bacchus';'comes_from';'Octave de Rochebrune (French)'
'The Elisha Whittelsey Collection';'has_possession_of';'Book Containing French Copies of the Following Prints'
'Metropolitan Museum of Art';'has_possession_of';'Book Containing French Copies of the Following Prints'
'Octave de Rochebrune';'comes_from';'Book Containing French Copies of the Following Prints'
'Henri II Bonnart';'has_role';'Publisher'
'John J. Klejman (American), New York';'sells';'Weight, Steelyard'
'Weight, Steelyard';'comes_from';'Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Weight, Steelyard'
'Klejman';'sells';'Dish | Chinese, for European market'
'Metropolitan Museum of Art';'has_possession_of';'Dish | Chinese, for European market'
'Dish | Chinese, for European market';'comes_from';'Chinese, for European market'
'Luis Paret y Alcazar';'has_role';'Artist'
'Design for a Title Page';'comes_from';'Luis Paret y Alcazar'
'Metropolitan Museum of Art';'has_possession_of';'Design for a Title Page'
'Metropolitan Museum of Art';'purchases';'Reclining River God'
'Reclining River God';'comes_from';'Galerie Cailleux, Paris'
'Jean-Baptiste Greuze';'has_role';'Artist'
'J. J. Klejman';'donates_to';'Metropolitan Museum of Art'
'Plate | Japanese, for Dutch market';'comes_from';'late 18th–early 19th century'
'Metropolitan Museum of Art';'has_possession_of';'Plate | Japanese, for Dutch market'
'Robert E. Hecht, Jr.';'has_possession_of';'Nenfro statue of a winged lion'
'Metropolitan Museum of Art';'purchases';'Nenfro statue of a winged lion'
'Nenfro statue of a winged lion';'comes_from';'Etruscan'
'Helena Woolworth McCann';'has_possession_of';'Plate (one of two)'
'Klejman';'has_possession_of';'Plate (one of two)'
'Klejman';'sells';'Plate (one of two)'
'Metropolitan Museum of Art';'has_possession_of';'Plate (one of two)'
'Plate (one of two)';'comes_from';'Helena Woolworth McCann'
'John B. Turner';'donates_to';'Metropolitan Museum of Art'
'On the Silent Myth (Af den stumme myte), Opus 2';'has_possession_of';'Metropolitan Museum of Art'
'On the Silent Myth (Af den stumme myte), Opus 2';'comes_from';'John B. Turner'
'C. T. Loo & Co.';'sells';'Bowl with “Oil-Spot” Design'
'C. T. Loo & Co.';'makes_sale_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Bowl with “Oil-Spot” Design'
'Bowl with “Oil-Spot” Design';'comes_from';'China'
'C. T. Loo & Co.';'sells';'Wellhead'
'Wellhead';'comes_from';'Eastern Han dynasty (25–220 CE)'
'Metropolitan Museum of Art';'has_possession_of';'Wellhead'
'Buddhist Temple Painting';'comes_from';'Thailand'
'Metropolitan Museum of Art';'has_possession_of';'Buddhist Temple Painting'
'Francis Harvey';'sells';"West Loo, Cornwall, from'Sketches from Nature'"
'C. W. Dyson Perrins';'has_possession_of';"West Loo, Cornwall, from'Sketches from Nature'"
'The Elisha Whittelsey Collection';'has_possession_of';"West Loo, Cornwall, from'Sketches from Nature'"
'Metropolitan Museum of Art';'has_possession_of';"West Loo, Cornwall, from'Sketches from Nature'"
'Sketches from Nature''comes_from';'Thomas Rowlandson'
'Norbert Schimmel';'purchases';'Stag figure'
'Norbert Schimmel';'buys_from';'John Klejman'
'Norbert Schimmel';'donates_to';'Metropolitan Museum of Art'
'Stag figure';'comes_from';'Iran'
'Metropolitan Museum of Art';'has_possession_of';'Stag figure'
'Metropolitan Museum of Art';'purchases';'Dagger | Iron Age I/II'
'Metropolitan Museum of Art';'buys_from';'Klejman'
'Dagger | Iron Age I/II';'comes_from';'ca. 10th–9th century B.C.'
'Water pot in the shape of a bird';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Water pot in the shape of a bird'
'Mr. and Mrs. J. J. Klejman';'has_possession_of';'Water pot in the shape of a bird'
'Metropolitan Museum of Art';'purchases';'Vessel'
'Vessel';'comes_from';'Iran'
'Mr. and Mrs. J. J. Klejman';'has_possession_of';'Buddhist Temple Painting'
'Pot in the Form of a Bird';'comes_from';'Thailand (Nakorn Pathom province)'
'Metropolitan Museum of Art';'has_possession_of';'Pot in the Form of a Bird'
'J. J. Klejman';'has_possession_of';'Pot in the Form of a Bird'
'Metropolitan Museum of Art';'has_possession_of';'Deutsches Künstler-Album'
'R. M. Tight';'sells';'Deutsches Künstler-Album'
'Metropolitan Museum of Art';'buys_from';'R. M. Tight'
'Cherub and shell';'comes_from';'Musei Vaticani collection'
'Metropolitan Museum of Art';'has_possession_of';'Cherub and shell'
'Brummer Gallery, Paris and New York';'sells';'Lunette'
'Metropolitan Museum of Art';'has_possession_of';'Lunette'
'Dr. and Mrs. Franz H. Hirschland';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Gardanne'
'Ambroise Vollard';'has_possession_of';'Gardanne'
'Ernest Brummer';'donates_to';'Metropolitan Museum of Art'
'Terracotta kylix (drinking cup)';'comes_from';'Greek, Boeotian'
'Metropolitan Museum of Art';'has_possession_of';'Terracotta kylix (drinking cup)'
'Kylix, eye-cup';'comes_from';'Leafless Group'
'Ernest Brummer';'has_possession_of';'Kylix, eye-cup'
'Metropolitan Museum of Art';'purchases';'Horse bit cheekpiece in form of a striding horse'
'Horse bit cheekpiece in form of a striding horse';'comes_from';'Iran'
'Lampstand';'comes_from';'Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Lampstand'
'Metropolitan Museum of Art';'obtains_from';'Dmitri Schevitch'
'Dmitri Schevitch';'sells';'Lampstand'
'Metropolitan Museum of Art';'has_possession_of';'Head of a Persian guard'
'Metropolitan Museum of Art';'purchases';'Head of a Persian guard'
'Metropolitan Museum of Art';'buys_from';'Joseph Pulitzer Bequest'
'Head of a Persian guard';'comes_from';'Achaemenid'
'Head of a Persian guard';'comes_from';'E. Sassoon, Paris'
'Metropolitan Museum of Art';'purchases';'Crescent-shaped axe head'
'Metropolitan Museum of Art';'obtains_from';'Joseph Pulitzer Bequest'
'Hans von Aulock';'has_possession_of';'Crescent-shaped axe head'
'Hans von Aulock';'has_possession_of';"Bull's horns"
'Metropolitan Museum of Art';'purchases';"Bull's horns"
